flight_time,year,month,dayofmonth,weekday,carrier,tailnum,flightnum,origin,dest,bos_depart,schedule_depart,depart,wheels_off,distance,weather_delay,nas_delay,security_delay,late_aircraft_delay,carrier_delay
75,2018,5,17,4,AA,N849NN,2253,BOS,PHL,1,625,620,635,280,0,0,0,0,0
135,2018,2,19,1,WN,N7887A,25,other,BOS,0,865,913,927,1609,0,1,0,1,1
48,2018,6,25,1,AA,N946UW,2158,LGA,BOS,0,480,478,501,184,0,0,0,0,0
134,2018,8,31,5,AA,N958AN,1170,other,BOS,0,818,817,830,1258,0,0,0,0,0
75,2018,1,16,2,B6,N203JB,459,BOS,PHL,1,512,511,524,280,0,0,0,0,0
126,2018,6,12,2,B6,N579JB,1070,FLL,BOS,0,1320,1346,1364,1237,0,0,0,1,1
66,2018,1,1,1,B6,N328JB,790,DCA,BOS,0,1039,1054,1064,399,0,0,0,0,0
139,2018,9,17,1,AA,N981AN,1099,BOS,other,1,762,756,774,1258,0,0,0,0,0
99,2018,7,14,6,OO,N270SY,3702,BOS,other,1,1040,1041,1059,942,0,0,0,0,0
166,2018,6,9,6,UA,N897UA,244,DEN,BOS,0,750,749,759,1754,0,0,0,0,0
54,2018,11,21,3,9E,N300PQ,3376,BOS,JFK,1,1172,1164,1190,187,0,0,0,0,0
237,2018,11,2,5,AS,N491AS,485,BOS,other,1,540,540,566,2496,0,0,0,0,0
163,2018,1,1,1,UA,N38403,1578,other,BOS,0,1100,1095,1115,1597,0,0,0,0,0
197,2018,8,16,4,B6,N929JB,834,SFO,BOS,0,1236,1235,1257,2704,0,0,0,0,0
225,2018,12,15,6,UA,N776UA,2396,SFO,BOS,0,360,790,811,2704,0,0,0,0,1
68,2018,11,8,4,B6,N307JB,1986,PIT,BOS,0,330,318,347,496,0,0,0,0,0
218,2018,8,4,6,B6,N991JB,534,SFO,BOS,0,832,875,919,2704,0,0,0,1,1
73,2018,12,6,4,WN,N224WN,314,BOS,BWI,1,425,422,443,369,0,0,0,0,0
58,2018,9,19,3,MQ,N826AE,4052,BOS,JFK,1,879,896,910,187,0,0,0,0,0
129,2018,8,31,5,NK,N517NK,609,BOS,FLL,1,705,703,715,1237,0,0,0,0,0
138,2018,4,30,1,B6,N706JB,565,BOS,other,1,435,425,449,1249,0,0,0,0,0
111,2018,11,21,3,B6,N309JB,1209,BOS,other,1,916,925,945,1010,0,0,0,0,0
47,2018,4,6,5,B6,N318JB,1331,BOS,LGA,1,1030,1318,1340,184,0,0,0,1,1
209,2018,11,23,5,UA,N67134,2154,LAX,BOS,0,765,760,772,2611,0,0,0,0,0
249,2018,11,19,1,AS,N640VA,1351,BOS,SFO,1,430,422,450,2704,0,0,0,0,0
92,2018,10,19,5,OO,N897SK,3634,BOS,RDU,1,1023,1041,1068,612,0,0,0,0,0
78,2018,3,6,2,WN,N562WN,38,other,BOS,0,1195,1191,1214,860,0,0,0,0,0
102,2018,4,12,4,B6,N625JB,1807,BOS,other,1,443,439,461,942,0,0,0,0,0
63,2018,12,21,5,YX,N873RW,6070,LGA,BOS,0,1080,1152,1180,184,0,1,0,1,1
82,2018,4,18,3,DL,N330NW,2100,ATL,BOS,0,1196,1196,1224,946,0,0,0,0,0
91,2018,6,27,3,NK,N533NK,110,DTW,BOS,0,390,481,491,632,0,0,0,0,1
145,2018,10,21,7,UA,N71411,1254,BOS,other,1,470,467,478,1597,0,0,0,0,0
76,2018,12,17,1,DL,N977AT,724,BOS,other,1,1110,1109,1132,752,0,0,0,0,0
64,2018,6,23,6,NK,N606NK,1028,BWI,BOS,0,360,366,381,369,0,0,0,0,0
102,2018,7,31,2,B6,N603JB,11,BOS,ORD,1,1235,1233,1257,867,0,0,0,0,0
54,2018,3,9,5,B6,N348JB,840,other,BOS,0,349,339,374,265,0,0,0,0,0
81,2018,9,12,3,AA,N942NN,2131,LGA,BOS,0,780,775,808,184,0,1,0,0,0
100,2018,11,30,5,9E,N137EV,5226,other,BOS,0,705,700,716,752,0,0,0,0,0
81,2018,4,11,3,B6,N274JB,1786,PIT,BOS,0,876,875,898,496,0,0,0,0,0
79,2018,5,21,1,B6,N247JB,854,DCA,BOS,0,1130,1117,1138,399,0,0,0,0,0
93,2018,8,30,4,DL,N344DN,1800,ATL,BOS,0,968,967,984,946,0,0,0,0,0
158,2018,7,15,7,AA,N831NN,1259,BOS,other,1,450,448,474,1258,0,0,0,0,0
118,2018,4,17,2,B6,N903JB,451,BOS,MCO,1,663,670,682,1121,0,0,0,0,0
66,2018,11,25,7,NK,N519NK,1027,BOS,BWI,1,1310,1408,1418,369,0,1,0,0,0
142,2018,9,26,3,AA,N944NN,29,other,BOS,0,724,779,814,1258,0,1,0,0,0
58,2018,12,7,5,YX,N205JQ,6076,BOS,LGA,1,420,414,473,184,0,1,0,0,0
71,2018,7,16,1,B6,N258JB,1615,BOS,other,1,1237,1368,1423,395,0,1,0,1,1
155,2018,2,22,4,WN,N7724A,1637,BOS,other,1,320,328,348,1554,0,0,0,0,0
144,2018,5,15,2,DL,N344NW,995,MSP,BOS,0,603,600,616,1124,0,1,0,0,0
104,2018,11,3,6,B6,N805JB,22,other,BOS,0,1212,1262,1271,1197,0,0,0,1,1
61,2018,4,5,4,AA,N716UW,1888,PHL,BOS,0,1141,1138,1179,280,0,0,0,0,0
81,2018,12,13,4,B6,N266JB,55,BOS,DCA,1,431,430,446,399,0,0,0,0,0
40,2018,3,10,6,DL,N963AT,1613,BOS,LGA,1,1080,1082,1094,184,0,0,0,0,0
84,2018,3,12,1,EV,N11547,4079,other,BOS,0,415,407,430,563,0,0,0,0,0
81,2018,12,28,5,UA,N69818,822,other,BOS,0,1025,1034,1050,413,0,1,0,0,1
191,2018,1,21,7,B6,N968JB,334,SFO,BOS,0,710,723,746,2704,0,0,0,0,0
96,2018,10,26,5,B6,N306JB,1245,BOS,CLT,1,480,471,483,728,0,0,0,0,0
171,2018,11,26,1,AA,N929AA,2747,BOS,DFW,1,759,771,783,1562,0,0,0,0,0
84,2018,5,28,1,B6,N665JB,50,other,BOS,0,800,866,876,901,0,0,0,1,0
103,2018,8,18,6,DL,N357DN,1337,BOS,DTW,1,540,539,557,632,0,0,0,0,0
62,2018,7,20,5,B6,N228JB,815,BOS,other,1,1122,1127,1156,395,0,0,0,0,0
49,2018,2,1,4,DL,N906AT,2674,LGA,BOS,0,1020,1019,1034,184,0,0,0,0,0
97,2018,5,24,4,B6,N536JB,796,ATL,BOS,0,1161,1162,1172,946,0,0,0,0,0
148,2018,7,24,2,B6,N646JB,1038,other,BOS,0,1125,1137,1158,1698,0,1,0,1,1
125,2018,6,8,5,B6,N608JB,221,BOS,other,1,1310,1315,1329,1197,0,0,0,0,0
70,2018,2,20,2,WN,N570WN,392,BOS,BWI,1,885,883,899,369,0,0,0,0,0
174,2018,11,20,2,B6,N709JB,215,BOS,DFW,1,400,400,412,1562,0,0,0,0,0
81,2018,6,3,7,UA,N471UA,496,ORD,BOS,0,360,354,368,867,0,0,0,0,0
53,2018,4,15,7,YX,N823MD,6066,LGA,BOS,0,960,959,992,184,0,0,0,0,0
