date,type,address,city,zip,price,beds,baths,neighborhood 9,sqft,lotsize,year,hoa,url,mls,latitude,longitude
July-25-2022,singlefamily,38 Howard St,Cambridge,2139,1400000,3,4,Central Square,2849,3400,1886,,https://www.redfin.com/MA/Cambridge/38-Howard-St-02139/home/11568100,72993239,42.365369,-71.1106652
July-19-2022,singlefamily,15 Chalk St,Cambridge,2139,3525000,6,4,Cambridgeport,4111,4999,1873,,https://www.redfin.com/MA/Cambridge/15-Chalk-St-02139/home/11561385,72978997,42.3618277,-71.1093288
July-18-2022,singlefamily,58 Shepard St,Cambridge,2138,4275000,4,3.5,Harvard Square,2904,4080,1873,,https://www.redfin.com/MA/Cambridge/58-Shepard-St-02138/home/11586180,72978981,42.380249,-71.1242518
July-15-2022,singlefamily,6 Fulkerson St,Cambridge,2141,970000,3,2,Cambridge,1470,1025,1894,,https://www.redfin.com/MA/Cambridge/6-Fulkerson-St-02141/home/11553447,72983774,42.3716141,-71.0868648
July-15-2022,singlefamily,19 Lilac Ct,Cambridge,2141,1675000,3,2,Kendall Square,1368,1535,1981,,https://www.redfin.com/MA/Cambridge/19-Lilac-Ct-02141/home/11555134,72990729,42.3674283,-71.0913399
July-14-2022,singlefamily,59 Dana St,Cambridge,2138,2550000,3,2.5,Cambridge,2200,6150,1903,,https://www.redfin.com/MA/Cambridge/59-Dana-St-02138/home/11571727,72948818,42.3730179,-71.1087166
July-5-2022,singlefamily,82 Line St,Somerville,2143,1736700,5,3.5,Inman Square,2184,1625,1900,,https://www.redfin.com/MA/Somerville/82-Line-St-02143/home/8725558,72978473,42.3759283,-71.1047683
June-14-2022,singlefamily,172 Harvard St,Cambridge,2139,1800000,3,3,Cambridge,2500,3132,1805,,https://www.redfin.com/MA/Cambridge/172-Harvard-St-02139/home/11555636,72969425,42.3662196,-71.0962828
June-10-2022,singlefamily,17 Perry St,Somerville,2143,1900000,3,2.5,Somerville,1897,2767,1900,,https://www.redfin.com/MA/Somerville/17-Perry-St-02143/home/8746231,72976324,42.3787158,-71.1016575
June-6-2022,singlefamily,5 Dana Pl,Cambridge,2138,1750000,4,3,Mid Cambridge,1844,1600,1980,,https://www.redfin.com/MA/Cambridge/5-Dana-Pl-02138/home/178965639,72962785,42.3704677,-71.11027
June-3-2022,singlefamily,19 Appleton St,Cambridge,2138,6850000,6,4.5,West Cambridge,5116,11520,1886,,https://www.redfin.com/MA/Cambridge/19-Appleton-St-02138/home/11591050,72944971,42.3780193,-71.1338504
June-2-2022,singlefamily,8 Cleveland St,Cambridge,2138,2414000,5,1.5,Mid Cambridge,2082,2199,1865,,https://www.redfin.com/MA/Cambridge/8-Cleveland-St-02138/home/11571105,72980107,42.3715939,-71.109735
May-26-2022,singlefamily,235 Third St,Cambridge,2141,1725000,2,1,Kendall Square,996,2910,1886,,https://www.redfin.com/MA/Cambridge/235-Third-St-02142/home/11553107,72893210,42.3671853,-71.0817994
May-16-2022,singlefamily,72A Inman St,Cambridge,2139,1775000,4,1.5,Cambridge,1822,1511,1854,,https://www.redfin.com/MA/Cambridge/72A-Inman-St-02139/home/178967813,72963238,42.3708036,-71.1022205
